
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Female",="Male",="Married",="Unmarried",="Interactions"

="mobile_user",="0.000922",="-0.00333",="0.00203",="-0.00664",="-0.0146*"
="",="(0.00451)",="(0.00713)",="(0.00575)",="(0.00554)",="(0.00749)"

="married",="0.0280***",="0.0160***",="",="",="0.0234***"
="",="(0.00537)",="(0.00557)",="",="",="(0.00449)"

="female",="",="",="-0.0360***",="-0.0536***",="-0.0564***"
="",="",="",="(0.00490)",="(0.00666)",="(0.00567)"

="mobile_female",="",="",="",="",="0.0253***"
="",="",="",="",="",="(0.00720)"

="mobile_married",="",="",="",="",="0.00204"
="",="",="",="",="",="(0.00589)"

="N",="23128",="28404",="28215",="23317",="51535"
="r2_a",="0.0220",="0.0365",="0.0275",="0.0364",="0.0336"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
