cbsa,year,peducgrp,age_cat,prob_unbanked_wage,prob_unbanked_se,prob_unbanked_notwork,prob_mobile_wage,prob_mobile_se,prob_mobile_notwork,prob_branch_wage,prob_branch_se,prob_branch_notwork,pct_broadband,female,married,has_children,n
16980,2015,4,2,0,0,0,.13069439,0,0,.78011405,.089191541,.013021837,90.800003,.40283743,.71614087,.58164716,77
16980,2015,2,3,.16556627,0,0,.11157314,.020439342,0,.59721702,.10520419,.023791358,90.800003,.40959191,.54390907,.20378037,43
16980,2015,3,3,.076050468,0,0,.041524559,0,0,.79677743,.085647576,.084124051,90.800003,.51115394,.43687007,.23674151,52
16980,2015,4,3,0,0,0,.11121424,.0084495815,0,.70682549,.17351066,.037328009,90.800003,.37389421,.78907716,.50099576,99
16980,2017,4,2,0,0,0,.15072198,.011736856,0,.76765716,.069884017,.036588989,90.800003,.46271601,.58118677,.54692596,75
16980,2017,3,3,.055889521,0,0,.11857029,.017786767,0,.68656242,.12119099,.019546807,90.800003,.41657495,.47454342,.20838417,50
16980,2017,4,3,.015283802,.028753256,0,.086999469,.01210915,0,.76074421,.096110128,.07484255,90.800003,.35546058,.57841218,.29697314,68
16980,2019,4,2,.011514379,0,0,.026867414,0,0,.87893587,.082682334,0,90.800003,.32493401,.59641868,.44283366,70
16980,2019,4,3,.025105719,0,0,.053106841,.011598487,0,.79261798,.11757097,.030303432,90.800003,.47463092,.63762945,.34033838,86
16980,2021,4,2,0,0,0,.08608029,0,.015258783,.89752305,.016396636,0,90.800003,.45713773,.6015715,.53485119,52
16980,2021,3,3,.044270799,0,0,.043960456,0,.043960456,.82267672,.089092024,.054862019,90.800003,.43772611,.37631169,.21042086,32
16980,2021,4,3,.011552456,0,0,.083176188,.015658962,0,.77378088,.11583149,.036780104,90.800003,.46590099,.65846652,.38701957,68
16980,2023,4,2,.062764466,0,0,.14664608,.02012028,0,.73275459,.037714601,.040748227,90.800003,.45163977,.64548731,.35717437,45
16980,2023,4,3,0,0,0,.10037104,0,0,.80702507,.092603877,.036234852,90.800003,.37669179,.65577018,.45020762,52
19100,2013,3,2,.10151064,0,.02990156,.034758165,.059880644,0,.6307627,.17308782,0,92.599998,.33621767,.57399231,.50823718,32
19100,2013,4,2,.024037579,0,0,.056204755,0,0,.89632469,.023432981,0,92.599998,.36070216,.61953735,.47784749,39
19100,2013,3,3,.053104457,0,0,.055579778,0,0,.7532438,.13807198,0,92.599998,.54846412,.66900349,.31809655,36
19100,2013,4,3,.018360641,0,0,.058854964,0,0,.69365233,.22913209,0,92.599998,.43447354,.63379902,.26228711,54
19100,2015,3,2,0,0,0,.092123725,.035683867,0,.82623661,.04595577,.031436656,92.599998,.5766362,.52883518,.5985744,31
19100,2015,4,2,0,0,0,.113074,0,0,.84170014,.045225881,.023257762,92.599998,.34146628,.60437977,.56361985,44
19100,2015,4,3,0,0,0,.086214751,.042462364,0,.72660363,.14471926,0,92.599998,.38099808,.68914342,.28722253,66
19100,2017,4,2,.041252095,0,0,.10472199,.033014599,.018011441,.78286451,.038146816,0,92.599998,.44684899,.68283135,.68635088,52
19100,2017,3,3,0,0,0,.082240179,0,0,.75577545,.16198437,.033424199,92.599998,.56091195,.59179282,.25358692,34
19100,2017,4,3,0,0,0,.099253394,.013682532,.015526603,.77373374,.11333033,.055759199,92.599998,.41658542,.60582882,.348389,59
19100,2019,3,2,.035141967,0,.035141967,.12542112,0,0,.78615695,.053279944,.028367994,92.599998,.53026307,.4433957,.58664119,31
19100,2019,4,2,.026020318,0,0,.082780749,0,0,.78015488,.087769039,.023274997,92.599998,.39673412,.75050336,.60413623,47
19100,2019,3,3,.033895515,0,0,.054240692,0,0,.77115893,.14070486,0,92.599998,.55080408,.49118009,.18885778,33
19100,2019,4,3,0,0,0,.07774695,0,.038162041,.78350765,.13874538,.019927019,92.599998,.38857701,.72236532,.20393512,47
19100,2021,4,2,0,0,0,.17302717,0,0,.8046639,.022308934,.01822138,92.599998,.39141211,.65292025,.43832681,41
19100,2023,4,3,0,0,0,.20770912,0,0,.66147017,.13082069,0,92.599998,.39931998,.76283371,.31142494,37
19740,2013,4,2,0,0,0,.11744323,0,.022158829,.84226012,.040296659,.039974172,93.900002,.41232476,.59504586,.5329439,48
