"specification","mean_gamma","sd_gamma","mu_param","sigma_param","loglik","bic","cf_effect","cf_ci_lower","cf_ci_upper","halton_draws","estimation_sample"
"Normal",0.279300891660693,0.00533170379845599,0.279300891660693,0.00533170379845599,-4191.71016022472,8502.66102512926,-1.00281331200686,-1.53042311134666,-0.566893806305374,100,5000
"LogNormal",0.288447824903859,0.0288116834016258,-1.24820486947526,0.0996374481073539,-4191.71046304045,8502.66163076073,-1.03162568487876,-10.6660956360209,-1.42678862044829e-26,100,5000
