="IV Regression: Broadband as Instrument (State FE)"

="",="(1)",="(2)",="(3)"
="",="First Stage",="Reduced Form",="IV-2SLS"

="pct_broadband",="0.00520**",="0.00188*",=""
="",="(0.00232)",="(0.000957)",=""

="age",="-0.00476**",="0.00548***",="0.00500**"
="",="(0.00208)",="(0.000706)",="(0.00212)"

="mobile_user",="",="",="0.366"
="",="",="",="(0.276)"

="N",="45506",="86562",="45466"
="r2",="0.126",="0.0249",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
