"gamma_bar","rep","K_est","cf_effect","k_selected_consensus","gamma_weighted","bic_panel"
0,1,1,23.4848299435249,3,0.0984990806378073,44391.6591734711
0,1,2,8.29704112627605,3,-0.00308698049435474,43210.3018167783
0,1,3,8.04160896673091,3,0.00103788485537422,43050.9178054288
0,1,4,7.48796916004233,3,-0.00316329913318966,43742.3579897789
0,1,5,15.7657944555927,3,-0.00731729082176931,43650.6302770183
0,2,1,11.6177854306405,1,0.039773423023702,43342.809452109
0,2,2,0.286299241687897,1,-0.0163468451468159,43488.6187694196
0,2,3,16.956859702569,1,0.0175822748125949,43983.7578775619
0,2,4,1.85498189679994,1,0.0164444980555091,43816.656653796
0,2,5,5.09294182491087,1,0.0349163299306767,43470.7726864097
0,3,1,11.2858267163291,5,0.0626641916866932,43484.796725749
0,3,2,5.54921075546226,5,0.0314097760496678,43889.9907631838
0,3,3,16.2103399958786,5,-0.00887073491430141,44300.6878360482
0,3,4,-3.64965308670636,5,0.0183060205824991,43463.7811970017
0,3,5,6.35119889252539,5,0.00521891414110066,43241.2176856039
0,4,1,-7.90447000666859,1,0.0466706960045232,42774.2107036802
0,4,2,-4.27157967838218,1,0.0274741205243428,43205.6282984507
0,4,3,11.7781333946002,1,0.0231553834163489,43620.8439650961
0,4,4,-3.63776705303163,1,0.0544648153296557,43472.6068344624
0,4,5,3.63529473251319,1,-0.0151839469746463,43511.0824071974
0,5,1,5.63562562265029,2,0.0413560780391862,43525.068218563
0,5,2,6.69756688028975,2,-0.00772953549996654,43025.8659618865
0,5,3,7.5285793854978,2,0.0423799204281049,43781.8659441932
0,5,4,6.84749883410442,2,0.00203832437458402,43778.4735037559
0,5,5,2.94393224555979,2,0.00121897429233229,43806.7150888417
0,6,1,9.22960498646119,3,0.077657652761053,43770.2085784729
0,6,2,1.02383949581129,3,0.0067093290574499,43767.6988857072
0,6,3,12.4948180036438,3,-0.0214997646777073,42934.8960173994
0,6,4,5.98555854308503,3,0.0102000144103787,44691.3407278072
0,6,5,6.24713306725219,3,0.0197672046888037,43658.3471474646
0,7,1,-0.575459716427286,2,0.0527529506479224,43294.5000448504
0,7,2,6.64521743967634,2,0.00753877275028555,43391.6388094372
0,7,3,-2.05609576770986,2,0.0390957993200424,43796.1819457631
0,7,4,0.474588176864959,2,0.0484105834309085,43037.8122062116
0,7,5,0.643748001997146,2,0.0407257588130068,43552.8090671343
0,8,1,5.51172552846669,2,0.00336286884835857,43426.5160248782
0,8,2,4.61643812675672,2,0.0312540284192362,43121.8586828062
0,8,3,14.1115111653031,2,-0.0174992280557348,43282.4995514204
0,8,4,4.04940256095864,2,0.0340553568038647,43766.6732468204
0,8,5,8.19619602463787,2,0.0213045049428349,43475.8493922894
0,9,1,11.6655156650756,2,-0.0312160308989072,43883.819708688
0,9,2,5.73119699606226,2,0.0504540103263279,43108.1207964026
0,9,3,6.03377164055997,2,0.0132092423997664,44226.943060363
0,9,4,8.29383218571646,2,0.0260291200164914,44178.4262763697
0,9,5,4.56602869677392,2,0.026396205667924,44223.4636990487
0,10,1,8.62669929045218,2,0.013522036334628,43789.7034281338
0,10,2,9.1381581598875,2,0.066362376609454,43814.7738901487
0,10,3,1.11353219433654,2,0.0454450378494195,43796.3421762064
0,10,4,0.334058904825736,2,0.0266177781312409,44246.8756332961
0,10,5,-2.81142047821199,2,0.0110349682668118,43522.1699491243
0,11,1,-0.0194173771343629,4,0.0337970988842798,42898.6656446423
0,11,2,19.757475753717,4,0.0202770803001853,43086.8048267134
0,11,3,5.45493360660103,4,0.0176440357497055,43326.2663850153
0,11,4,5.02678785693323,4,-0.00578531952837833,43480.5015216227
0,11,5,8.73092699002789,4,0.00489063140694447,44005.3718929776
0,12,1,14.37237064407,3,0.0011421781079324,44234.9049877279
0,12,2,0.331931716479623,3,0.000443488150503092,43729.2686626648
0,12,3,12.9640240387577,3,0.0217980685661582,43293.2530666608
0,12,4,2.67917583972153,3,0.0363213485966272,43550.6367737205
0,12,5,4.01366203747302,3,0.00946115052441424,43663.5587094613
0,13,1,9.73102495086063,3,0.149678096333024,43681.377371365
0,13,2,9.8397533357181,3,-0.0171239359192509,43093.5282984866
0,13,3,9.12178005938389,3,0.00106997797279447,43289.4372783395
0,13,4,8.54244871506937,3,0.0103462930275224,43283.9702098665
0,13,5,11.9030248944721,3,-0.0101927855016356,43407.6036733278
0,14,1,6.78515078589469,4,0.0857811032796616,43249.0292720175
0,14,2,7.0230483374677,4,0.0323386757702019,43462.0267286138
0,14,3,9.65659794200485,4,0.0104078496960567,43821.1784931366
0,14,4,8.7414151272572,4,0.0442114206924424,43106.4144588392
0,14,5,3.2372752859762,4,0.0243493057047647,43382.2853442194
0,15,1,2.06225641978255,3,0.0842130686600733,43397.1646856097
