item,value
baseline_se,.10558994
branch_share,.8416906
agg_branch_effect,-.57099974
cf_50_effect_pct,-227.58093
beta_type1,.00085663708
beta_type2,-.33420965
beta_type3,-.99843693
beta_type4,-.5276351
share_type1,.12159546
share_type2,.24204242
share_type3,.32804462
share_type4,.30831748
