"gamma_bar","k_recovery_rate","mean_cf_range","mean_cf_at_true_k","mc_se_cf"
0,0.12,12.8416102614482,5.39371331111017,0.758341124972354
0.02,0.12,15.621790674388,6.00295375091517,0.835889405096698
0.05,0.1,15.2394137612206,5.37863401758238,0.971852590520429
0.1,0.1,14.1116034234352,4.02891546467937,0.931194815261228
0.15,0.08,15.4628091704265,3.55749132127958,0.980560933238794
