"condition","n_draws","posterior_mean","posterior_sd","ci_lower","ci_upper"
"unconditional",10000,-8.48713868835623,4.98889954730182,-15.5704843944483,3.15084186723889
"K_ge_4",7940,-10.5981648132032,2.69287843173844,-15.9087864827637,-5.21870713997744
"K_lt_4",2060,-0.350465178023727,3.07969170696829,-6.53451578708689,5.47780927168331
"K_eq_2",490,-0.414342976002004,3.56661841004625,-7.16322950251826,6.9221189214557
"K_eq_3",1570,-0.33052879521522,2.91208654459485,-6.35858299154176,5.27434201643086
"K_eq_4",5515,-10.7825322992168,2.67563185408069,-16.0812507392408,-5.43584360782847
"K_eq_5",2425,-10.1788713347021,2.68551411554435,-15.355181314361,-4.97765865894752
