="Heterogeneity by Geography"

="",="(1)",="(2)"
="",="Metropolitan",="Rural"

="mobile_user",="0.00357",="0.111"
="",="(0.00368)",="(0.268)"

="N",="45917",="27"
="r2",="0.0296",="0.601"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
