="Heterogeneity by Race/Ethnicity"

="",="(1)",="(2)",="(3)"
="",="Black",="Hispanic",="White"

="mobile_user",="-0.00224",="0.00719",="0.00310"
="",="(0.00927)",="(0.0101)",="(0.00359)"

="N",="4815",="5785",="31682"
="r2",="0.0484",="0.0586",="0.0323"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
