"subsample_size","n_subsamples","K_eff_mean","K_eff_sd","prob_K_ge_4_mean","cf_mean_avg","cf_mean_sd","cf_mean_min","cf_mean_max","prob_neg_mean"
10000,20,3.8031396021006,0.178440484762685,0.788487078355957,-8.4745711649118,0.446948495959231,-9.36176356084105,-7.5407722176826,0.991014675905497
25000,5,3.79431522508934,0.0426828358259991,0.778417653159879,-8.35968742341459,0.151660714048833,-8.52659848610092,-8.13164326878537,0.987523662327421
50000,2,3.92589326816405,0.0274334615171717,0.787600709162727,-8.47446515854979,0.0364121572581419,-8.50021244186466,-8.44871787523493,0.990984451054454
