item,value
baseline_se,.10558994
cf_logit_mfx,-.03399666
effect_pct_logit_mfx,-132.19687
cf_lpm,-.074430384
effect_pct_lpm,-170.49004
effect_pct_heterog_k4,-81.083466
mfx_branch_density,.0036436492
branch_share,.8416906
