"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,60,4,-6856.65526504888,13888.3069971653,19,1.26766840928615,2.96861637775729,0.4397,0.427023315907138,-8389844.1290966,TRUE,2,3,5,2
10000,60,5,-6858.57268996552,13938.1935488585,24,0,0,0.4397,0.4397,2464052.25960106,TRUE,2,3,5,2
10000,61,1,-323560117702.665,647120235442.172,4,0,0,1,1,34498101.2328178,FALSE,2,3,4,2
10000,61,2,-6860.0196624843,13802.9323883164,9,0,0,0.4403,0.4403,5214572.55406702,TRUE,2,3,4,2
10000,61,3,-6860.0196624843,13848.9840901763,14,0,0,0.4403,0.4403,10508272.9044748,TRUE,2,3,4,2
10000,61,4,-6841.48130615122,13857.95907937,19,-0.642507575821427,-1.43826171998721,0.4403,0.446725075758214,4896097.4935153,TRUE,2,3,4,2
10000,61,5,-6860.15836140859,13941.3648917446,24,-0.00280064156840676,-0.00636035302683623,0.4403,0.440328006415684,7774791.11891439,TRUE,2,3,4,2
10000,62,1,-134983635226.525,269967270489.892,4,0.839999999999996,2.32815964523281,0.3692,0.3608,860892.054752097,FALSE,2,3,5,2
10000,62,2,-6849.32663037053,13781.5463240888,9,0,0,0.436,0.436,-1344879.27198603,TRUE,2,3,5,2
10000,62,3,-6849.32663037053,13827.5980259487,14,0,0,0.436,0.436,-9135457.90460904,TRUE,2,3,5,2
10000,62,4,-6849.32663037053,13873.6497278086,19,0,0,0.436,0.436,735062.649864093,TRUE,2,3,5,2
10000,62,5,-6849.10870098384,13919.2655708951,24,0.00315008612792322,0.00722549022267982,0.436,0.435968499138721,-1234369.50024059,TRUE,2,3,5,2
10000,63,1,-492389389714.483,984778779465.808,4,0,0,1,1,7804778.29450765,FALSE,2,3,5,2
10000,63,2,-6843.56511589182,13770.0232951314,9,0,0,0.4338,0.4338,-2826516.15326145,TRUE,2,3,5,2
10000,63,3,-6843.56511589182,13816.0749969913,14,0,0,0.4338,0.4338,-4271022.124271,TRUE,2,3,5,2
10000,63,4,-6843.56511589182,13862.1266988512,19,0,0,0.4338,0.4338,-26776758.9483552,TRUE,2,3,5,2
10000,63,5,-6843.56511589182,13908.1784007111,24,0,0,0.4338,0.4338,-14498461.036156,TRUE,2,3,5,2
10000,64,1,-535194136228.232,1070388272493.3,4,-4.31,-45.2731092436975,0.0521,0.0952,-6500641.06646568,FALSE,2,3,5,2
10000,64,2,-6841.42117543424,13765.7354142163,9,0,0,0.433,0.433,-12265591.325095,TRUE,2,3,5,2
10000,64,3,-6841.42117543424,13811.7871160761,14,0,0,0.433,0.433,3916844.08280841,TRUE,2,3,5,2
10000,64,4,-6841.42117543424,13857.838817936,19,0,0,0.433,0.433,-3622716.80665627,TRUE,2,3,5,2
10000,64,5,-6841.42117543424,13903.8905197959,24,0,0,0.433,0.433,6735160.50965657,TRUE,2,3,5,2
10000,65,1,-231045795025.622,462091590088.085,4,0,NA,0,0,-25884351.1180843,FALSE,2,3,5,2
10000,65,2,-6868.84475778326,13820.5825789143,9,0,0,0.4441,0.4441,-12343768.4758825,TRUE,2,3,5,2
10000,65,3,-6868.84475778326,13866.6342807742,14,0,0,0.4441,0.4441,15483442.169613,TRUE,2,3,5,2
10000,65,4,-6868.84475778326,13912.6859826341,19,0,0,0.4441,0.4441,-3542524.44506821,TRUE,2,3,5,2
10000,65,5,-6868.84476142548,13958.7376917784,24,9.5285745960183e-08,2.14559212401718e-07,0.444099999706489,0.444099998753632,-12352674.72256,TRUE,2,3,5,2
10000,66,1,-338934546532.097,677869093101.036,4,0,0,1,1,15562798.2892324,FALSE,2,3,5,2
10000,66,2,-6847.51478186217,13777.9226270721,9,0,0,0.4353,0.4353,5601988.77438396,TRUE,2,3,5,2
10000,66,3,-6847.51478186217,13823.974328932,14,0,0,0.4353,0.4353,5637063.6990737,TRUE,2,3,5,2
10000,66,4,-6847.51478186217,13870.0260307919,19,0,0,0.4353,0.4353,-2844130.27088316,TRUE,2,3,5,2
10000,66,5,-6847.51478186217,13916.0777326518,24,0,0,0.4353,0.4353,4788208.70573822,TRUE,2,3,5,2
10000,67,1,-133742883188.149,267485766413.14,4,0.649999999999995,0.658895083628986,0.993,0.9865,18666440.0871124,FALSE,2,3,5,2
10000,67,2,-6833.71202208352,13750.3171075148,9,0,0,0.4302,0.4302,-7788992.77231155,TRUE,2,3,5,2
10000,67,3,-6833.71202208352,13796.3688093747,14,0,0,0.4302,0.4302,358457.464379942,TRUE,2,3,5,2
10000,67,4,-6833.71202208352,13842.4205112346,19,0,0,0.4302,0.4302,3542101.78892057,TRUE,2,3,5,2
10000,67,5,-6833.71207780711,13888.4723245417,24,3.03948531898968e-06,7.06528490498728e-06,0.430199995415959,0.430199965021106,-27925355.7070189,TRUE,2,3,5,2
10000,68,1,-498007321509.81,996014643056.461,4,0.919999999999999,1.14044874178753,0.8159,0.8067,1906780.37648502,FALSE,2,3,5,2
10000,68,2,-6883.37464477697,13849.6423529017,9,0,0,0.451,0.451,-6018309.60203143,TRUE,2,3,5,2
10000,68,3,-6883.37464477697,13895.6940547616,14,0,0,0.451,0.451,2498617.92214505,TRUE,2,3,5,2
10000,68,4,-6883.37464477697,13941.7457566215,19,0,0,0.451,0.451,-1003501.82935562,TRUE,2,3,5,2
10000,68,5,-6883.37464477697,13987.7974584814,24,0,0,0.451,0.451,-8740681.54783578,TRUE,2,3,5,2
