"design","N","mean_range","median_range"
"Cancellation",2000,16.8224784853182,16.6963100214566
"Cancellation",10000,15.7897232870272,14.8929474549014
"Cancellation",50000,17.2211105392731,15.9036455137215
"Same-Sign",2000,16.2884801610109,16.3431611719323
"Same-Sign",10000,15.2335741501246,15.8300580861564
"Same-Sign",50000,12.5943211062205,13.0160932431701
