cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
10580,2017,3,4,45-64,0,0,1
10580,2017,3,6,45-64,.29223758,.6498304,3
10580,2017,4,1,45-64,0,1,1
10580,2017,4,3,45-64,0,0,1
10580,2017,4,6,45-64,.11005635,.41796261,7
10580,2019,3,6,18-29,0,,1
10580,2019,4,3,18-29,0,,3
10580,2019,4,6,18-29,0,,2
10580,2019,2,2,30-44,0,,1
10580,2019,2,6,30-44,.45944703,,2
10580,2019,3,6,30-44,0,,1
10580,2019,4,3,30-44,0,,3
10580,2019,4,6,30-44,0,,4
10580,2019,3,2,45-64,0,,1
10580,2019,3,6,45-64,0,,3
10580,2019,4,3,45-64,1,,1
10580,2019,4,6,45-64,0,,9
10580,2021,2,2,18-29,0,,1
10580,2021,3,1,18-29,0,,1
10580,2021,3,6,18-29,0,,1
10580,2021,4,3,18-29,0,,1
10580,2021,4,6,18-29,0,,2
10580,2021,1,6,30-44,0,,1
10580,2021,2,1,30-44,0,,1
10580,2021,4,6,30-44,0,,4
10580,2021,1,3,45-64,1,,1
10580,2021,2,3,45-64,1,,1
10580,2021,2,6,45-64,0,,1
10580,2021,4,6,45-64,0,,11
10580,2023,2,1,18-29,0,,1
10580,2023,2,6,18-29,0,,1
10580,2023,4,6,18-29,0,,2
10580,2023,3,2,30-44,0,,1
10580,2023,3,6,30-44,0,,3
10580,2023,4,6,30-44,0,,5
10580,2023,1,1,45-64,0,,1
10580,2023,2,6,45-64,0,,2
10580,2023,3,6,45-64,0,,4
10580,2023,4,1,45-64,0,,1
10580,2023,4,6,45-64,.25198016,,7
10740,2013,1,2,18-29,0,,1
10740,2013,2,2,18-29,0,0,6
10740,2013,2,4,18-29,0,0,1
10740,2013,3,2,18-29,0,,1
10740,2013,3,6,18-29,0,0,2
10740,2013,4,2,18-29,0,1,3
10740,2013,4,3,18-29,0,0,2
10740,2013,4,6,18-29,0,0,2
10740,2013,1,2,30-44,0,0,7
10740,2013,1,4,30-44,0,0,1
10740,2013,2,2,30-44,.19018385,0,5
10740,2013,2,4,30-44,0,0,1
10740,2013,3,1,30-44,0,0,1
10740,2013,3,2,30-44,0,.25228825,5
10740,2013,3,4,30-44,0,,1
10740,2013,3,6,30-44,0,.41116515,2
10740,2013,4,2,30-44,0,.74658602,4
10740,2013,4,3,30-44,1,0,1
10740,2013,4,6,30-44,0,.5669412,7
10740,2013,1,2,45-64,0,0,2
10740,2013,2,2,45-64,0,.24535502,6
10740,2013,2,6,45-64,.18154906,0,5
10740,2013,3,1,45-64,0,0,1
10740,2013,3,2,45-64,0,0,2
10740,2013,3,6,45-64,.21864149,.32156399,9
10740,2013,4,2,45-64,0,.14562276,6
10740,2013,4,6,45-64,.084465943,.33036631,10
10740,2015,1,2,18-29,0,0,3
10740,2015,2,2,18-29,0,.50834876,3
10740,2015,2,4,18-29,0,0,1
