"design","N","mean_range","median_range","mc_se_range"
"Cancellation",2000,16.0638005559705,16.1740624910434,0.395150597085893
"Cancellation",10000,16.6600010508852,15.261670330466,0.595931899306766
"Cancellation",50000,14.0630385172579,12.7491843249314,1.23033291289886
"Same-Sign",2000,15.672267783316,15.3964859704038,0.391725225261641
"Same-Sign",10000,14.8572653012219,14.6790459080264,0.548680639518768
"Same-Sign",50000,16.5221924474838,16.392062431152,1.21084598526464
