cbsa,year,hsupwgtk,age,metro,pct_broadband,female,married,se,branch,educ_cat,inc_quint,race_black,race_hispanic
13820,2019,3.3107133,60,1,88.800003,0,0,0,1,2,4,0,0
13820,2015,0,55,1,88.800003,0,0,0,0,2,4,0,0
19300,2015,2.6000786,58,0,89.900002,0,1,0,1,4,5,0,0
26620,2015,0,37,1,91,1,0,0,0,4,2,1,0
22520,2019,3.3428445,52,1,80.800003,0,1,1,1,3,4,0,0
26620,2017,2.3806958,51,1,91,0,0,1,1,1,5,0,0
33860,2015,3.303196,51,1,88.900002,1,0,0,1,2,2,1,0
13820,2019,0,24,1,88.800003,0,0,0,0,1,4,0,1
26620,2017,2.6309466,56,1,91,0,1,0,0,2,4,0,0
22520,2021,3.7127771,54,1,80.800003,1,0,0,1,3,2,0,0
33660,2015,0,57,1,85.800003,1,0,0,0,4,5,0,0
13820,2019,2.9116447,59,1,88.800003,0,1,0,1,3,5,0,0
12220,2015,0,44,1,86,0,1,0,0,4,1,0,0
13820,2015,0,26,1,88.800003,0,1,0,0,2,1,0,0
13820,2019,0,36,1,88.800003,1,1,0,0,3,2,0,0
13820,2017,0,48,1,88.800003,0,1,1,0,2,4,0,0
13820,2017,2.4057815,32,1,88.800003,1,1,0,1,4,5,0,0
26620,2019,2.5560555,62,1,91,1,1,0,1,4,5,0,0
22520,2019,3.1624713,24,1,80.800003,0,0,0,0,1,2,0,0
33860,2015,2.5166111,43,1,88.900002,1,0,0,1,2,2,1,0
33860,2019,3.5346742,63,1,88.900002,1,1,0,1,4,5,1,0
22520,2017,0,54,1,80.800003,0,0,0,0,2,3,0,0
13820,2015,3.2858369,41,1,88.800003,0,0,0,1,1,5,0,0
12220,2015,0,37,1,86,0,0,0,0,2,3,0,1
12220,2015,4.8160887,31,1,86,1,0,0,1,3,2,1,0
13820,2017,2.656847,25,1,88.800003,1,1,0,1,2,3,0,0
13820,2023,3.5019641,34,1,88.800003,1,1,0,1,2,4,0,0
13820,2017,0,51,1,88.800003,1,0,0,0,3,3,0,0
13820,2019,4.0568972,27,1,88.800003,1,1,0,1,4,4,0,0
33860,2015,2.2297451,30,1,88.900002,0,1,1,1,2,4,0,0
13820,2015,2.6207204,57,1,88.800003,1,0,0,1,4,3,1,0
26620,2019,0,24,1,91,0,0,0,0,4,3,0,0
13820,2017,2.7374117,46,1,88.800003,1,0,0,1,3,4,0,0
13820,2017,2.390919,35,1,88.800003,1,1,0,1,3,5,0,0
13820,2019,0,29,1,88.800003,0,0,0,0,3,3,0,0
13820,2019,0,46,1,88.800003,1,0,0,0,2,3,0,0
13820,2017,7.1119671,32,1,88.800003,1,0,0,1,4,3,0,1
22520,2017,0,51,1,80.800003,0,1,1,0,3,3,0,0
22520,2017,0,43,1,80.800003,0,1,0,0,3,3,0,0
22520,2017,2.7224214,58,1,80.800003,0,1,0,1,4,5,0,0
